Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2018 Q1,194.8264,163
2018 Q2,199.1209,151
2018 Q3,218.7273,162
2018 Q4,248.7343,205
2019 Q1,231.8904,168.5
2019 Q2,246.7172,188.5
2019 Q3,218.1309,169
2019 Q4,246.9312,175
2020 Q1,269.1737,216.5
2020 Q2,292.6667,251
2020 Q3,275.1167,236
2020 Q4,307.3721,251
2021 Q1,268.6525,239
2021 Q2,307.4336,247
2021 Q3,320.7692,243
2021 Q4,319.837,291
2022 Q1,331.3742,253
2022 Q2,330.9542,321
2022 Q3,365.339,332
2022 Q4,316.0642,211
2023 Q1,318.2212,250
2023 Q2,303.0336,255
2023 Q3,287.9134,251
2023 Q4,257.165,233
2024 Q1,323.6476,269
2024 Q2,296.573,264
2024 Q3,282.4417,250.5
2024 Q4,265.6301,213
2025 Q1,233.2917,204.5
2025 Q2,280.2526,261
2025 Q3,292.4074,251.5
2025 Q4,297.0833,262.5
