Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017.0,96.0,90.0,137.0,5.0,32.0,557.0
2018.0,135.0,110.0,135.0,5.0,18.0,550.0
2019.0,134.0,97.0,131.0,2.0,25.0,624.0
2020.0,114.0,73.0,104.0,3.0,25.0,505.0
2021.0,123.0,56.0,113.0,4.0,19.0,535.0
2022.0,85.0,76.0,100.0,5.0,14.0,503.0
2023.0,34.0,11.0,26.0,0.0,2.0,116.0
