Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,918,259,230,2,55,1832
2021,1164,542,263,10,37,2162
2022,937,442,251,6,25,1899
2023,1340,660,283,8,25,1975
2024,1059,552,268,9,27,1639
2025,1028,456,149,9,43,1660
