Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,114,75,103,3,27,507
2021,124,57,116,4,21,541
2022,87,77,97,5,16,500
2023,105,57,95,4,14,395
2024,126,48,118,3,11,351
2025,96,38,88,0,20,317
