Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,793.0,194.0,987.0,80.34447822,19.65552178
2017 Q2,830.0,222.0,1052.0,78.8973384,21.1026616
2017 Q3,762.0,161.0,923.0,82.55687974,17.44312026
2017 Q4,658.0,188.0,846.0,77.77777778,22.22222222
2018 Q1,753.0,207.0,960.0,78.4375,21.5625
2018 Q2,652.0,242.0,894.0,72.93064877,27.06935123
2018 Q3,614.0,278.0,892.0,68.83408072,31.16591928
2018 Q4,671.0,231.0,902.0,74.3902439,25.6097561
2019 Q1,577.0,281.0,858.0,67.24941725,32.75058275
2019 Q2,563.0,299.0,862.0,65.31322506,34.68677494
2019 Q3,522.0,347.0,869.0,60.06904488,39.93095512
2019 Q4,560.0,347.0,907.0,61.74200662,38.25799338
2020 Q1,556.0,320.0,876.0,63.47031963,36.52968037
2020 Q2,368.0,97.0,465.0,79.13978495,20.86021505
2020 Q3,542.0,227.0,769.0,70.48114434,29.51885566
2020 Q4,519.0,253.0,772.0,67.22797927,32.77202073
2021 Q1,678.0,178.0,856.0,79.20560748,20.79439252
2021 Q2,681.0,176.0,857.0,79.46324387,20.53675613
2021 Q3,716.0,212.0,928.0,77.15517241,22.84482759
2021 Q4,554.0,195.0,749.0,73.96528705,26.03471295
2022 Q1,588.0,196.0,784.0,75.0,25.0
2022 Q2,556.0,137.0,693.0,80.23088023,19.76911977
2022 Q3,486.0,150.0,636.0,76.41509434,23.58490566
2022 Q4,482.0,163.0,645.0,74.72868217,25.27131783
2023 Q1,561.0,159.0,720.0,77.91666667,22.08333333
