Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,66.0,88.0,154.0,42.85714286
2017 Q2,62.0,57.0,119.0,52.10084034
2017 Q3,67.0,100.0,167.0,40.11976048
2017 Q4,78.0,71.0,149.0,52.34899329
2018 Q1,73.0,70.0,143.0,51.04895105
2018 Q2,72.0,72.0,144.0,50.0
2018 Q3,69.0,79.0,148.0,46.62162162
2018 Q4,65.0,68.0,133.0,48.87218045
2019 Q1,78.0,69.0,147.0,53.06122449
2019 Q2,85.0,62.0,147.0,57.82312925
2019 Q3,93.0,94.0,187.0,49.73262032
2019 Q4,108.0,60.0,168.0,64.28571429
2020 Q1,86.0,77.0,163.0,52.7607362
2020 Q2,55.0,46.0,101.0,54.45544554
2020 Q3,60.0,64.0,124.0,48.38709677
2020 Q4,69.0,73.0,142.0,48.5915493
2021 Q1,54.0,67.0,121.0,44.62809917
2021 Q2,75.0,75.0,150.0,50.0
2021 Q3,81.0,64.0,145.0,55.86206897
2021 Q4,87.0,51.0,138.0,63.04347826
2022 Q1,72.0,60.0,132.0,54.54545455
2022 Q2,69.0,85.0,154.0,44.80519481
2022 Q3,72.0,68.0,140.0,51.42857143
2022 Q4,56.0,35.0,91.0,61.53846154
2023 Q1,53.0,65.0,118.0,44.91525424
