Disposition Quarter,Deferred
2017 Q1,86
2017 Q2,98
2017 Q3,77
2017 Q4,90
2018 Q1,128
2018 Q2,127
2018 Q3,102
2018 Q4,101
2019 Q1,99
2019 Q2,136
2019 Q3,120
2019 Q4,148
2020 Q1,144
2020 Q2,102
2020 Q3,114
2020 Q4,149
2021 Q1,139
2021 Q2,133
2021 Q3,125
2021 Q4,123
2022 Q1,135
2022 Q2,130
2022 Q3,130
