Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,70.0,16.0,86.0
2017 Q2,76.0,14.0,90.0
2017 Q3,62.0,15.0,77.0
2017 Q4,71.0,18.0,89.0
2018 Q1,106.0,22.0,128.0
2018 Q2,107.0,20.0,127.0
2018 Q3,81.0,20.0,101.0
2018 Q4,86.0,15.0,101.0
2019 Q1,85.0,14.0,99.0
2019 Q2,112.0,24.0,136.0
2019 Q3,108.0,12.0,120.0
2019 Q4,133.0,15.0,148.0
2020 Q1,126.0,18.0,144.0
2020 Q2,92.0,10.0,102.0
