Disposition Quarter,Deferred
2017 Q1,82
2017 Q2,102
2017 Q3,77
2017 Q4,94
2018 Q1,131
2018 Q2,135
2018 Q3,108
2018 Q4,102
2019 Q1,100
2019 Q2,135
2019 Q3,123
2019 Q4,153
2020 Q1,147
2020 Q2,101
2020 Q3,113
2020 Q4,151
2021 Q1,147
2021 Q2,131
2021 Q3,123
2021 Q4,129
2022 Q1,139
2022 Q2,139
2022 Q3,158
2022 Q4,143
2023 Q1,149
2023 Q2,147
2023 Q3,170
2023 Q4,160
2024 Q1,140
2024 Q2,168
2024 Q3,141
2024 Q4,90
2025 Q1,101
2025 Q2,147
2025 Q3,152
2025 Q4,123
