Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,63,7,70,10
2017 Q2,71,5,76,6.578947368
2017 Q3,58,4,62,6.451612903
2017 Q4,69,2,71,2.816901408
2018 Q1,104,2,106,1.886792453
2018 Q2,104,3,107,2.803738318
