Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,731,451,512,14,78,3401
2021,854,381,530,21,178,3757
2022,963,385,579,18,179,4024
2023,937,305,626,11,96,3846
2024,1061,376,587,27,121,3792
2025,1062,301,572,15,72,3699
