Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Plead/Found Guilty
2017.0,1209.0,225.0,31.0,28.0,9545.0
2018.0,1460.0,308.0,51.0,27.0,8032.0
2019.0,1865.0,217.0,45.0,16.0,11026.0
2020.0,3836.0,251.0,30.0,7.0,4869.0
2021.0,1757.0,254.0,78.0,18.0,5016.0
2022.0,2097.0,240.0,201.0,15.0,4181.0
2023.0,576.0,67.0,192.0,4.0,1200.0
