Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,8,21,29,27.5862069,31,100,131,23.66412214
2017 Q2,4,37,41,9.756097561,24,120,144,16.66666667
2017 Q3,10,31,41,24.3902439,31,111,142,21.83098592
2017 Q4,6,20,26,23.07692308,33,125,158,20.88607595
2018 Q1,9,30,39,23.07692308,33,103,136,24.26470588
2018 Q2,8,27,35,22.85714286,27,120,147,18.36734694
2018 Q3,7,24,31,22.58064516,31,137,168,18.45238095
2018 Q4,5,24,29,17.24137931,32,146,178,17.97752809
2019 Q1,1,21,22,4.545454545,41,146,187,21.92513369
2019 Q2,3,29,32,9.375,32,129,161,19.8757764
2019 Q3,1,17,18,5.555555556,33,181,214,15.42056075
2019 Q4,6,21,27,22.22222222,34,129,163,20.85889571
2020 Q1,2,13,15,13.33333333,24,131,155,15.48387097
2020 Q2,6,19,25,24,21,95,116,18.10344828
2020 Q3,4,11,15,26.66666667,20,112,132,15.15151515
2020 Q4,2,20,22,9.090909091,37,99,136,27.20588235
2021 Q1,3,23,26,11.53846154,23,102,125,18.4
2021 Q2,4,18,22,18.18181818,26,129,155,16.77419355
2021 Q3,1,23,24,4.166666667,24,118,142,16.90140845
2021 Q4,0,11,11,0,17,97,114,14.9122807
2022 Q1,1,17,18,5.555555556,18,73,91,19.78021978
2022 Q2,5,19,24,20.83333333,26,113,139,18.70503597
2022 Q3,3,13,16,18.75,12,92,104,11.53846154
2022 Q4,2,16,18,11.11111111,18,103,121,14.87603306
2023 Q1,2,22,24,8.333333333,25,130,155,16.12903226
2023 Q2,1,14,15,6.666666667,18,106,124,14.51612903
2023 Q3,1,17,18,5.555555556,21,101,122,17.21311475
2023 Q4,1,16,17,5.882352941,28,110,138,20.28985507
