,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Prison
Sentences in 2024,1043,168,457,56,59,39,104
Change since 2023,-2.249297095,-11.57894737,-3.177966102,21.73913043,1.724137931,-26.41509434,25.30120482
