Disposition Year,Fine/Comm. Service,Time Served,Probation,Probation plus Jail,Jail
2019,600,136,521,99,136
2020,466,101,396,79,134
2021,546,71,389,71,84
2022,360,83,342,42,83
2023,255,128,381,39,52
2024,264,116,378,47,53
