Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,0,94,10,0,42,2,173
2020,1,75,21,4,56,3,211
2021,0,81,21,0,41,0,132
2022,4,69,15,4,35,3,93
2023,1,73,6,0,51,3,83
2024,1,64,9,0,39,0,102
