Disposition Quarter,Deferred
2017 Q1,127
2017 Q2,112
2017 Q3,125
2017 Q4,102
2018 Q1,86
2018 Q2,106
2018 Q3,73
2018 Q4,92
2019 Q1,92
2019 Q2,94
2019 Q3,89
2019 Q4,78
2020 Q1,84
2020 Q2,54
2020 Q3,83
2020 Q4,97
2021 Q1,81
2021 Q2,84
2021 Q3,88
2021 Q4,70
2022 Q1,97
2022 Q2,109
2022 Q3,98
2022 Q4,92
2023 Q1,97
2023 Q2,119
2023 Q3,77
2023 Q4,80
2024 Q1,93
2024 Q2,93
2024 Q3,96
