Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,89,18,107,16.82242991
2017 Q2,78,23,101,22.77227723
2017 Q3,86,22,108,20.37037037
2017 Q4,71,16,87,18.3908046
2018 Q1,71,12,83,14.45783133
2018 Q2,79,13,92,14.13043478
2018 Q3,56,7,63,11.11111111
2018 Q4,72,14,86,16.27906977
2019 Q1,71,12,83,14.45783133
