Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,99.0,28.0,127.0
2017 Q2,87.0,28.0,115.0
2017 Q3,102.0,25.0,127.0
2017 Q4,82.0,20.0,102.0
2018 Q1,71.0,18.0,89.0
2018 Q2,87.0,18.0,105.0
2018 Q3,59.0,15.0,74.0
2018 Q4,77.0,18.0,95.0
2019 Q1,77.0,18.0,95.0
2019 Q2,86.0,11.0,97.0
2019 Q3,75.0,14.0,89.0
2019 Q4,64.0,14.0,78.0
2020 Q1,76.0,8.0,84.0
2020 Q2,42.0,14.0,56.0
