Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,84,15,99,15.15151515
2017 Q2,72,15,87,17.24137931
2017 Q3,85,17,102,16.66666667
2017 Q4,63,19,82,23.17073171
2018 Q1,61,10,71,14.08450704
2018 Q2,77,10,87,11.49425287
