Disposition Quarter,Deferred
2017 Q1,127
2017 Q2,115
2017 Q3,127
2017 Q4,102
2018 Q1,89
2018 Q2,105
2018 Q3,74
2018 Q4,95
2019 Q1,95
2019 Q2,97
2019 Q3,89
2019 Q4,78
2020 Q1,84
2020 Q2,56
2020 Q3,83
2020 Q4,96
2021 Q1,88
2021 Q2,86
2021 Q3,89
2021 Q4,70
2022 Q1,97
2022 Q2,109
2022 Q3,87
