Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,3421,362,3783,16,376,307,88,163,2595,3545,9.569125033,8.660084626
2018,3666,363,4029,18,479,315,90,181,2504,3587,9.009679821,8.781711737
2019,3851,347,4198,17,526,301,116,164,2870,3994,8.265840877,7.536304457
2020,3030,323,3353,6,373,301,36,115,1916,2747,9.63316433,10.95740808
2021,2729,326,3055,16,374,330,61,141,1934,2856,10.6710311,11.55462185
2022,2740,316,3056,16,396,359,75,158,2052,3056,10.34031414,11.7473822
2023,2814,334,3148,21,383,395,76,147,2006,3028,10.60991105,13.04491413
2024,3018,308,3326,22,433,339,57,117,1855,2823,9.26037282,12.00850159
