Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,111.0,10.0,121.0,8.26446281
2017 Q2,113.0,4.0,117.0,3.418803419
2017 Q3,102.0,13.0,115.0,11.30434783
2017 Q4,112.0,11.0,123.0,8.943089431
2018 Q1,126.0,16.0,142.0,11.26760563
2018 Q2,141.0,9.0,150.0,6.0
