Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,111,10,121,8.26446281
2017 Q2,113,4,117,3.418803419
2017 Q3,102,13,115,11.30434783
2017 Q4,112,11,123,8.943089431
2018 Q1,126,16,142,11.26760563
2018 Q2,141,9,150,6
