Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,23.0571,20.7419
2017 Q2,22.2188,24.75
2017 Q3,21.9737,23.8148
2017 Q4,21.0833,22.125
2018 Q1,22.1389,19.8485
2018 Q2,21.1351,22.7714
2018 Q3,24.4242,22.3636
2018 Q4,20.9167,21.5625
2019 Q1,22.6563,23.8387
2019 Q2,24.4688,24.6
2019 Q3,26.375,23.5313
2019 Q4,23.6667,24.3438
2020 Q1,25.1724,24.7241
2020 Q2,23.7778,19.087
2020 Q3,21.2222,22.5926
2020 Q4,24.36,23.72
2021 Q1,23.6087,24.5714
2021 Q2,24.3636,26.6957
2021 Q3,24.4545,24.64
2021 Q4,22.5455,26.25
2022 Q1,23.0476,26.0435
2022 Q2,22.7273,23.7727
2022 Q3,26.5714,23.0909
2022 Q4,27.5,26.2857
