Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,830.0,2346.0,323.0
2017 Q2,733.0,2304.0,327.0
2017 Q3,843.0,2352.0,365.0
2017 Q4,784.0,2517.0,345.0
2018 Q1,827.0,2198.0,311.0
2018 Q2,808.0,2409.0,346.0
2018 Q3,837.0,2450.0,364.0
2018 Q4,763.0,2210.0,301.0
2019 Q1,755.0,2339.0,269.0
2019 Q2,812.0,2240.0,252.0
2019 Q3,853.0,2545.0,395.0
2019 Q4,724.0,2224.0,253.0
2020 Q1,753.0,2268.0,194.0
2020 Q2,672.0,1846.0,190.0
2020 Q3,619.0,2332.0,339.0
2020 Q4,628.0,1828.0,181.0
2021 Q1,556.0,2252.0,135.0
2021 Q2,550.0,2105.0,159.0
2021 Q3,545.0,2095.0,245.0
2021 Q4,508.0,2176.0,202.0
2022 Q1,489.0,2032.0,173.0
2022 Q2,526.0,1865.0,223.0
2022 Q3,562.0,2008.0,275.0
2022 Q4,544.0,1730.0,242.0
2023 Q1,530.0,1745.0,206.0
