Filing Quarter,Number of violent cases filed per quarter
2017 Q1,90
2017 Q2,78
2017 Q3,92
2017 Q4,80
2018 Q1,69
2018 Q2,72
2018 Q3,80
2018 Q4,90
2019 Q1,78
2019 Q2,76
2019 Q3,95
2019 Q4,76
2020 Q1,86
2020 Q2,93
2020 Q3,87
2020 Q4,105
2021 Q1,83
2021 Q2,99
2021 Q3,100
2021 Q4,87
2022 Q1,92
2022 Q2,95
2022 Q3,98
2022 Q4,116
2023 Q1,121
2023 Q2,98
2023 Q3,115
2023 Q4,141
2024 Q1,106
2024 Q2,119
2024 Q3,104
