Filing year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,7417,1014,3291,41,155,4447,2279
2018,15721,1599,5000,79,246,1008,352
2019,14396,1436,4975,76,270,683,168
2020,11653,1294,4078,81,157,814,288
2021,12793,1486,4545,67,213,1303,233
2022,11338,1323,4219,79,226,1151,225
2023,10956,1377,4291,81,243,1184,231
2024,12271,1482,5408,76,237,972,329
2025,11086,1478,4914,61,241,948,409
