Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction ONLY
2017,11000,2756,4888
2018,13896,3573,6536
2019,12130,3625,6249
2020,9221,3984,5160
2021,10433,4587,5620
2022,9462,3998,5101
2023,9881,3675,4807
2024,11801,3811,5163
2025,10305,3709,5123
