Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,758,2076,105
2017 Q2,748,2350,113
2017 Q3,706,2577,145
2017 Q4,797,2402,135
2018 Q1,737,2208,124
2018 Q2,767,2318,135
2018 Q3,830,2523,114
2018 Q4,791,2258,114
2019 Q1,795,2328,114
2019 Q2,720,2501,70
2019 Q3,907,2168,75
2019 Q4,821,2597,104
2020 Q1,720,2212,72
2020 Q2,570,1757,75
2020 Q3,493,2169,68
2020 Q4,619,2159,67
2021 Q1,628,2181,52
2021 Q2,621,1943,48
2021 Q3,658,2700,57
2021 Q4,581,2297,62
2022 Q1,516,1972,70
2022 Q2,498,1621,83
2022 Q3,519,1898,157
2022 Q4,563,1339,72
2023 Q1,462,1578,102
2023 Q2,539,1620,129
2023 Q3,495,1703,109
2023 Q4,550,1560,147
2024 Q1,497,1657,163
2024 Q2,556,1557,133
2024 Q3,627,1727,114
2024 Q4,510,1689,102
2025 Q1,477,1616,83
2025 Q2,505,1788,140
2025 Q3,514,1783,116
2025 Q4,498,1671,144
