Filing Quarter,Number of violent cases filed per quarter
2017 Q1,92
2017 Q2,115
2017 Q3,122
2017 Q4,107
2018 Q1,93
2018 Q2,111
2018 Q3,107
2018 Q4,111
2019 Q1,94
2019 Q2,94
2019 Q3,104
2019 Q4,105
2020 Q1,131
2020 Q2,118
2020 Q3,118
2020 Q4,116
2021 Q1,113
2021 Q2,115
2021 Q3,108
2021 Q4,100
2022 Q1,90
2022 Q2,99
2022 Q3,119
2022 Q4,124
2023 Q1,116
2023 Q2,152
2023 Q3,127
2023 Q4,121
2024 Q1,102
