Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,119,23,142,16.1971831
2017 Q2,118,12,132,9.090909091
2017 Q3,108,24,132,18.18181818
2017 Q4,123,10,133,7.518796992
2018 Q1,133,27,160,16.875
2018 Q2,148,20,169,11.83431953
