,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2022,1438,509,1350,465,268,67,13,146
Change since 2021,-6,30.84832905,-0.881057269,4.260089686,27.61904762,26.41509434,-18.75,16.8
