Disposition Year,Credit for time served,Probation,Probation plus jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,0.0,334.0,41.0,47.0,44.0,9.0,163.0
2018.0,0.0,301.0,28.0,84.0,38.0,6.0,147.0
2019.0,0.0,277.0,47.0,56.0,48.0,13.0,138.0
2020.0,15.0,172.0,88.0,19.0,44.0,7.0,112.0
2021.0,9.0,154.0,176.0,13.0,51.0,10.0,124.0
2022.0,10.0,161.0,154.0,11.0,66.0,5.0,141.0
2023.0,1.0,41.0,29.0,2.0,6.0,1.0,16.0
