Disposition Year,Credit for time served,Probation,Probation plus jail,Jail,Community Corrections,Youth Corrections,Prison
2017,0,334,41,47,44,9,163
2018,0,301,28,84,38,6,146
2019,0,277,47,56,48,13,138
2020,15,172,89,19,44,7,112
2021,9,154,176,13,51,10,125
2022,12,165,162,11,67,5,146
2023,2,98,60,4,15,1,48
