Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total ,Misdemeanors not disposed within 30 days,Misdemeanors disposed within 30 days
2017 Q1,1332.0,365.0,1697.0,78.49145551,21.50854449
2017 Q2,1382.0,373.0,1755.0,78.74643875,21.25356125
2017 Q3,1142.0,310.0,1452.0,78.65013774,21.34986226
2017 Q4,1344.0,357.0,1701.0,79.01234568,20.98765432
2018 Q1,1455.0,398.0,1853.0,78.52131678,21.47868322
2018 Q2,1522.0,374.0,1896.0,80.2742616,19.7257384
2018 Q3,1543.0,383.0,1926.0,80.11422638,19.88577362
2018 Q4,1395.0,362.0,1757.0,79.39669892,20.60330108
2019 Q1,1605.0,402.0,2007.0,79.97010463,20.02989537
2019 Q2,1584.0,415.0,1999.0,79.23961981,20.76038019
2019 Q3,1407.0,435.0,1842.0,76.38436482,23.61563518
2019 Q4,1177.0,472.0,1649.0,71.37659187,28.62340813
2020 Q1,971.0,349.0,1320.0,73.56060606,26.43939394
2020 Q2,668.0,85.0,753.0,88.71181939,11.28818061
2020 Q3,1195.0,222.0,1417.0,84.33309809,15.66690191
2020 Q4,1245.0,150.0,1395.0,89.24731183,10.75268817
2021 Q1,1228.0,243.0,1471.0,83.48062542,16.51937458
2021 Q2,1367.0,179.0,1546.0,88.42173351,11.57826649
2021 Q3,1449.0,163.0,1612.0,89.88833747,10.11166253
2021 Q4,1328.0,316.0,1644.0,80.77858881,19.22141119
2022 Q1,1483.0,298.0,1781.0,83.26782706,16.73217294
2022 Q2,1221.0,266.0,1487.0,82.11163416,17.88836584
2022 Q3,1202.0,278.0,1480.0,81.21621622,18.78378378
2022 Q4,1041.0,274.0,1315.0,79.1634981,20.8365019
2023 Q1,994.0,237.0,1231.0,80.74735987,19.25264013
