Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017.0,1064.0,607.0,837.0,20.0,39.0,4728.0
2018.0,1200.0,702.0,907.0,20.0,33.0,5377.0
2019.0,1162.0,653.0,879.0,18.0,43.0,5519.0
2020.0,883.0,629.0,681.0,10.0,36.0,3366.0
2021.0,1289.0,1078.0,790.0,15.0,23.0,4261.0
2022.0,1238.0,1059.0,817.0,6.0,20.0,4109.0
2023.0,273.0,177.0,180.0,3.0,7.0,802.0
