Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,183,173,327,4,17,1774
2021,168,130,321,7,21,1707
2022,200,159,318,4,19,1505
2023,181,124,323,12,17,1470
2024,174,128,355,9,26,1357
2025,183,163,329,11,31,1403
