Disposition Quarter,Conviction,No Conviction,Total
2017,14,5,19
2018,14,9,23
2019,10,9,19
2020,9,4,13
2021,10,15,25
2022,11,12,23
2023,15,13,28
2024,15,10,25
2025,10,8,18
