Filing Year,Male,Female,Unknown/Missing
2017,460,512,974
2018,667,814,624
2019,572,642,536
2020,844,1019,477
2021,810,969,405
2022,686,825,498
2023,648,777,719
2024,564,584,1245
2025,598,654,752
