Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,8
2017 Q2,4
2017 Q3,9
2017 Q4,8
2018 Q1,5
2018 Q2,2
2018 Q3,8
2018 Q4,2
2019 Q1,6
2019 Q2,7
2019 Q3,8
2019 Q4,5
2020 Q1,13
2020 Q2,13
2020 Q3,10
2020 Q4,7
2021 Q1,6
2021 Q2,11
2021 Q3,14
2021 Q4,7
2022 Q1,12
2022 Q2,10
2022 Q3,4
2022 Q4,8
2023 Q1,7
2023 Q2,6
2023 Q3,10
2023 Q4,7
2024 Q1,7
