Filing year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,11832,1560,5778,51,183,477,199
2018,11886,1741,5844,56,210,417,145
2019,12416,1771,6710,37,266,392,139
2020,9549,1380,5393,48,157,298,135
2021,9753,1569,5977,57,220,290,160
2022,8847,1402,5018,57,167,252,94
2023,9503,1506,5762,67,193,248,95
2024,9764,1572,6446,58,232,193,79
2025,12810,2085,8576,56,281,427,227
