Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction ONLY
2017,11709,2763,5608
2018,10939,3318,6042
2019,11732,3678,6321
2020,8283,3765,4912
2021,8580,4208,5238
2022,7370,3790,4677
2023,8674,3724,4976
2024,9391,3871,5082
2025,13891,4104,6467
