Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,88.925,75.3514
2017 Q2,80.2763,78.4167
2017 Q3,87.1644,77.1449
2017 Q4,88.338,81.4063
2018 Q1,77.6364,89.7031
2018 Q2,87.7733,105.6852
2018 Q3,86.3286,98.0364
2018 Q4,76.6582,107.6667
2019 Q1,85.6133,95.0167
2019 Q2,83.2368,96.7288
2019 Q3,76.3289,94.1429
2019 Q4,75.65,93.5932
2020 Q1,83.1429,78.4516
2020 Q2,64.9054,48.8537
2020 Q3,64.4085,82.4444
2020 Q4,69.3239,72.3929
2021 Q1,80.3281,65.0667
2021 Q2,94.5263,84.5818
2021 Q3,91.46,96.4375
2021 Q4,110.0816,106.913
2022 Q1,119.4783,106.6591
2022 Q2,99.7381,105.2667
2022 Q3,142.4118,120.8108
2022 Q4,166.5,150.2857
