Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,17.973,18.6406
2017 Q2,17.7887,18.9844
2017 Q3,16.6622,17.7705
2017 Q4,17.7703,17.5667
2018 Q1,17.9315,19.371
2018 Q2,18.7867,18.5077
2018 Q3,17.8108,17.4923
2018 Q4,18.026,18.697
2019 Q1,16.3797,19.0806
2019 Q2,17.3902,19.7123
2019 Q3,18.1071,17.0267
2019 Q4,18.025,17.6761
2020 Q1,18.2055,16.4933
2020 Q2,16.2,11.6591
2020 Q3,16.6393,14.4167
2020 Q4,17.5,13.3906
2021 Q1,18.4815,14.7966
2021 Q2,18.8958,17.5313
2021 Q3,22.3404,20.0
2021 Q4,21.9574,18.9787
2022 Q1,23.5652,19.8511
2022 Q2,24.9286,22.5682
2022 Q3,25.2857,22.8298
2022 Q4,27.0,21.4419
