Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2018 Q1,64.5769,54.0526
2018 Q2,51.8333,53.1333
2018 Q3,60.5,51.3125
2018 Q4,46.65,63.1429
2019 Q1,51.6316,50.375
2019 Q2,49.3529,67
2019 Q3,50.6,60.1429
2019 Q4,52.0476,51.6667
2020 Q1,46,61.6923
2020 Q2,32.25,38.25
2020 Q3,43.45,53.7143
2020 Q4,41.2778,46
2021 Q1,42.8947,44.3333
2021 Q2,47.5294,45.1765
2021 Q3,59.1667,46.625
2021 Q4,46.0556,53.125
2022 Q1,43.3125,53.5333
2022 Q2,42,52.5
2022 Q3,40.125,47
2022 Q4,49.4615,47.5333
2023 Q1,42.5,52
2023 Q2,51.5,53
2023 Q3,55.8333,47.9231
2023 Q4,49.0769,58.3333
2024 Q1,67.5455,75.7778
2024 Q2,62.8182,64.4
2024 Q3,74.1667,69.1
2024 Q4,62.5833,47.7778
2025 Q1,68.1818,45.6
2025 Q2,73.1,74.2
2025 Q3,103.625,81.875
2025 Q4,133.3333,98.7143
