Filing year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2020,1221,54,1372,14,5,87,78
2021,1623,101,1802,37,12,84,106
2022,1364,67,1262,21,10,60,72
2023,1346,61,1337,16,15,84,206
2024,1392,48,1365,18,16,123,114
2025,1434,55,1279,12,11,113,160
