Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2020,15,129,144,10.41666667,89.58333333
2021,17,139,156,10.8974359,89.1025641
2022,19,137,156,12.17948718,87.82051282
2023,16,155,171,9.356725146,90.64327485
2024,13,115,128,10.15625,89.84375
2025,16,109,125,12.8,87.2
