Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,61,46,107
2017 Q2,61,56,117
2017 Q3,45,35,80
2017 Q4,64,28,92
2018 Q1,52,44,96
2018 Q2,69,41,110
2018 Q3,55,44,99
2018 Q4,51,34,85
2019 Q1,54,40,94
2019 Q2,70,28,98
2019 Q3,65,38,103
2019 Q4,57,51,108
2020 Q1,59,41,100
2020 Q2,44,17,61
