Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,52,9,61,14.75409836
2017 Q2,53,8,61,13.1147541
2017 Q3,38,7,45,15.55555556
2017 Q4,54,10,64,15.625
2018 Q1,47,5,52,9.615384615
2018 Q2,60,9,69,13.04347826
