Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,17
2017 Q2,16
2017 Q3,15
2017 Q4,11
2018 Q1,25
2018 Q2,13
2018 Q3,14
2018 Q4,14
2019 Q1,14
2019 Q2,24
2019 Q3,10
2019 Q4,14
2020 Q1,16
2020 Q2,13
2020 Q3,14
2020 Q4,18
2021 Q1,25
2021 Q2,13
2021 Q3,19
2021 Q4,7
2022 Q1,15
2022 Q2,27
2022 Q3,23
2022 Q4,15
2023 Q1,11
2023 Q2,9
2023 Q3,18
2023 Q4,27
2024 Q1,18
2024 Q2,8
2024 Q3,13
2024 Q4,26
2025 Q1,20
