Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,201,167,317,8,34,2580
2021,291,244,322,21,50,2820
2022,358,189,397,13,58,2676
2023,350,181,372,11,60,2442
2024,352,161,364,10,50,2241
2025,316,146,359,15,46,2081
