Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017,1462,385,659,61,173,9236
2018,2730,417,692,70,179,11879
2019,2671,477,767,79,165,11384
2020,3072,461,622,34,88,6383
2021,2767,972,743,58,127,9302
2022,3178,657,435,49,106,6046
