Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,4.0,859.0,259.0,21.0,210.0,50.0,776.0
2018.0,2.0,949.0,281.0,27.0,242.0,66.0,800.0
2019.0,8.0,788.0,313.0,28.0,244.0,44.0,796.0
2020.0,5.0,569.0,127.0,11.0,136.0,45.0,422.0
2021.0,9.0,638.0,166.0,15.0,231.0,17.0,504.0
2022.0,4.0,630.0,155.0,10.0,197.0,26.0,534.0
2023.0,1.0,118.0,28.0,0.0,20.0,3.0,95.0
