Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,5,569,127,11,136,45,436
2021,9,641,165,15,234,17,509
2022,5,640,156,10,200,27,547
2023,9,555,148,3,127,19,489
2024,16,500,120,14,118,13,445
2025,14,458,118,8,79,20,372
