Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
4459.0,1128.0,3134.0,712.0,560.0,201.0,36.0,536.0
-26.4,17.91044776,-7.927382753,-10.8815427,-3.730017762,-22.55319149,-10.25641026,1.775147929
