Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,1760,442,2525,469,442
2021,2521,757,2577,566,526
2022,1467,856,2432,577,530
2023,822,763,2157,446,526
2024,936,850,2196,434,459
2025,863,641,1886,355,494
