Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,973,4420,318
2018,1079,4240,313
2019,1156,4173,332
2020,886,3998,253
2021,818,4360,295
2022,730,3752,354
2023,649,3569,348
2024,669,3612,483
2025,641,3770,394
