,Felony,Misdemeanor,Violent Offense
Cases Filed 2021,820,4362,125
Change since 2020,-8%,9%,29%
,,,
Cases Filed Quarter 3 2022,174,1000,21
Change since Quarter 3 2021,-14.7,-10.7,-34.3
