Filing Quarter,Number of violent cases filed per quarter
2017 Q1,23
2017 Q2,13
2017 Q3,38
2017 Q4,28
2018 Q1,31
2018 Q2,29
2018 Q3,37
2018 Q4,24
2019 Q1,35
2019 Q2,28
2019 Q3,42
2019 Q4,40
2020 Q1,35
2020 Q2,30
2020 Q3,47
2020 Q4,28
2021 Q1,41
2021 Q2,48
2021 Q3,42
2021 Q4,36
2022 Q1,47
2022 Q2,35
2022 Q3,33
2022 Q4,35
2023 Q1,32
2023 Q2,29
2023 Q3,26
2023 Q4,36
2024 Q1,37
