Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,217.0,1065.0,72.0
2017 Q2,271.0,1225.0,64.0
2017 Q3,246.0,1084.0,84.0
2017 Q4,241.0,1048.0,98.0
2018 Q1,250.0,1022.0,95.0
2018 Q2,268.0,1025.0,65.0
2018 Q3,317.0,1191.0,84.0
2018 Q4,246.0,1002.0,69.0
2019 Q1,291.0,988.0,75.0
2019 Q2,266.0,1013.0,55.0
2019 Q3,311.0,1104.0,101.0
2019 Q4,287.0,1071.0,101.0
2020 Q1,248.0,1042.0,55.0
2020 Q2,212.0,778.0,45.0
2020 Q3,230.0,1015.0,81.0
2020 Q4,199.0,1165.0,72.0
2021 Q1,229.0,1210.0,73.0
2021 Q2,200.0,1083.0,78.0
2021 Q3,203.0,1120.0,81.0
2021 Q4,187.0,948.0,63.0
2022 Q1,208.0,954.0,66.0
2022 Q2,189.0,917.0,96.0
2022 Q3,176.0,1007.0,114.0
2022 Q4,161.0,879.0,80.0
2023 Q1,144.0,876.0,76.0
