Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,1496,238,633,13,90,6768
2020,1207,177,588,8,43,4488
2021,1729,314,561,13,57,5207
2022,1800,267,568,13,50,5434
2023,1870,355,542,9,48,5009
2024,1892,323,513,12,53,5417
2025,892,174,271,6,8,2342
