Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,73,21,321,3,21,936
2020,75,14,260,1,19,658
2021,104,39,293,4,20,859
2022,102,32,230,2,38,765
2023,100,30,178,7,48,799
2024,118,36,189,8,27,762
2025,73,10,61,2,23,256
