Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,58
2017 Q2,69
2017 Q3,68
2017 Q4,54
2018 Q1,59
2018 Q2,59
2018 Q3,65
2018 Q4,61
2019 Q1,58
2019 Q2,63
2019 Q3,64
2019 Q4,75
2020 Q1,65
2020 Q2,50
2020 Q3,63
2020 Q4,52
2021 Q1,71
2021 Q2,68
2021 Q3,50
2021 Q4,75
2022 Q1,65
2022 Q2,67
2022 Q3,68
2022 Q4,47
2023 Q1,77
2023 Q2,60
2023 Q3,62
2023 Q4,62
2024 Q1,75
2024 Q2,70
2024 Q3,62
